blockNumber,amount0Burnt,amount1Burnt
18262314,1783616882.0,1.0288377564273216e18
18266874,9999999999.0,6.00509681510259e18
18267871,783842543.0,4.702155820783463e17
18272701,16028107240632.0,9.654534381951596e21
18276139,168319918.0,1.0234562495999658e17
18278126,26850946.0,1.6428689643328266e16
18290365,9999999999.0,6.124834776401345e18
18300989,7099496365.0,4.3521959764285993e18
18301954,9999999999.0,6.122812998443773e18
18302412,256575188.0,1.5679442046715338e17
18304068,499914645.0,3.0649254299084864e17
18305604,993635.0,613129602434336.0
18305633,499998.0,308528506413451.0
18314302,14241297266.0,9.10509531679774e18
18315185,44506740.0,2.812420492190372e16
18316261,9999999999.0,6.333486495891745e18
18318328,3131565.0,1976461067123968.0
18318707,15333740.0,9643018313896184.0
18328383,7280041366.0,4.678000582034843e18
18330746,9999999999.0,6.38491593813277e18
18334174,100050335.0,6.4566383152778776e16
18343095,272381307.0,1.764072906617979e17
18345443,9999999999.0,6.451464631409097e18
18347354,5147963.0,3324797237763688.0
18358129,29826964.0,1.9104319902301984e16
18359789,9999999999.0,6.380031968594508e18
18367811,2420457.0,1522560329436920.0
18369507,8403997.0,5288342535762370.0
18371261,308513265830.0,1.9567860507620052e20
18372879,16767973.0,1.0711725821046824e16
18376296,345607013.0,2.1941288650747446e17
18378827,702156669.0,4.489610769005042e17
18380911,9999999999.0,6.400021055702868e18
18381797,4682447.0,3025121683471292.0
18381813,15749225.0,1.0176300866274262e16
18382914,29781697863.0,1.921096916839584e19
18384483,1264724334.0,8.142867055351076e17
18395562,16892471926.0,1.0533211542261862e19
18397182,9999999999.0,6.241481964285605e18
18408833,13212452.0,8059543078540694.0
18430460,9999999999.0,5.602335537110093e18
18436955,1068174916.0,5.948468401300888e17
18462950,28366608968.0,1.5611312197192784e19
18467750,892528808.0,4.962172984714607e17
18467869,9999999999.0,5.544855170571377e18
18470022,124088805.0,6.8567836645256984e16
18474300,793193.0,437315989572002.0
